color,time_days,r2,zero_correction_pa
green,0.0,0.9830041922567012,713.4871878622537
green,1.0,0.9852261232092828,523.969098031748
green,2.0,0.990608585535357,419.1703954338559
red,0.0,0.973873672709263,326.6640073281485
red,1.0,0.9952303942525147,504.21778003483973
red,2.0,0.9458108823779944,513.5817637446678
