train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
compression_only,compression,test,0.0,1069.6179031846789,1138.761369671367,-18.24486427681229,9
compression_only,compression,test,1.0,1205.5138417426215,1242.60572605571,-27.68838814191655,9
compression_only,compression,test,2.0,1791.6515338948568,1906.355664175681,-9.140653315149574,9
compression_only,compression,train,0.0,1356.108489906529,1464.3532465114974,-9.924426511258815,35
compression_only,compression,train,1.0,1728.737866603042,1912.128811958276,-5.184419259095741,33
compression_only,compression,train,2.0,1662.0411474609375,1814.3683101448555,-5.8563520878316915,32
compression_only,shear,test,0.0,50.56149580660651,54.60837385901457,-1.7992696645314776,100
compression_only,shear,test,1.0,156.34087860174327,169.32680652557463,-3.9897142808722057,64
compression_only,shear,test,2.0,230.2759828057516,242.3927337695662,-7.613640492401705,100
compression_only,shear,train,0.0,240.76912824051635,265.97576044737724,-3.177656000124064,400
compression_only,shear,train,1.0,337.6126949872538,356.7281676473328,-6.802943315527432,393
compression_only,shear,train,2.0,280.2347672478046,308.6154451963407,-4.306631630385942,351
compression_only,tension,test,0.0,253.82914163818361,316.2723558016263,-0.5607537118717036,4
compression_only,tension,test,1.0,302.30998110351567,416.4721808247939,-1.3243218755130837,3
compression_only,tension,test,2.0,372.2474349060059,481.44627871235156,-0.36049204846493166,4
compression_only,tension,train,0.0,319.5771989990234,426.71109946107714,-0.5119018944818192,14
compression_only,tension,train,1.0,455.9082078639573,679.3060487121365,-0.30672779769682057,13
compression_only,tension,train,2.0,359.7699454533504,497.5142457923135,-0.29378983972676354,13
compression_only,overall,test,-1.0,258.6153968564043,474.97500427777504,-0.780867045983284,302
compression_only,overall,train,-1.0,389.50716820301164,575.0213199168729,-1.2113325023684909,1284
