epoch,train_loss,val_loss
1,0.26754704117774963,0.1917749047279358
2,0.26747408509254456,0.19171683490276337
3,0.2674012780189514,0.1916588693857193
4,0.26732853055000305,0.1916010081768036
5,0.2672559320926666,0.19154328107833862
6,0.26718348264694214,0.19148561358451843
7,0.2671111226081848,0.191428080201149
8,0.26703891158103943,0.1913706660270691
9,0.2669668197631836,0.19131334125995636
10,0.2668948769569397,0.19125613570213318
11,0.26682305335998535,0.19119903445243835
12,0.26675137877464294,0.19114206731319427
13,0.2666798532009125,0.19108520448207855
14,0.26660844683647156,0.19102843105793
15,0.26653721928596497,0.19097179174423218
16,0.2664661109447479,0.1909153163433075
17,0.2663951516151428,0.19085893034934998
18,0.26632434129714966,0.190802663564682
19,0.26625367999076843,0.1907465159893036
20,0.26618316769599915,0.19069050252437592
21,0.2661127746105194,0.190634623169899
22,0.2660425901412964,0.19057883322238922
23,0.2659725248813629,0.1905231773853302
24,0.26590263843536377,0.19046767055988312
25,0.2658328711986542,0.1904122680425644
26,0.2657632827758789,0.1903570145368576
27,0.2656938135623932,0.19030186533927917
28,0.2656245529651642,0.1902468502521515
29,0.26555541157722473,0.19019196927547455
30,0.265486478805542,0.19013722240924835
31,0.2654176354408264,0.1900825798511505
32,0.26534900069236755,0.1900280863046646
33,0.26528051495552063,0.18997372686862946
34,0.26521217823028564,0.18991947174072266
35,0.2651439905166626,0.1898653656244278
36,0.2650759816169739,0.1898113638162613
37,0.2650080919265747,0.18975752592086792
38,0.26494044065475464,0.1897038072347641
39,0.2648729085922241,0.18965022265911102
40,0.26480549573898315,0.1895967423915863
41,0.2647382616996765,0.18954341113567352
42,0.2646712064743042,0.1894902139902115
43,0.2646043002605438,0.1894371211528778
44,0.2645375728607178,0.18938417732715607
45,0.2644709646701813,0.18933136761188507
46,0.2644045650959015,0.18927869200706482
47,0.26433828473091125,0.18922613561153412
48,0.26427215337753296,0.18917369842529297
49,0.2642062306404114,0.18912138044834137
50,0.26414042711257935,0.1890692114830017
51,0.26407480239868164,0.1890171617269516
52,0.2640093266963959,0.18896523118019104
53,0.26394397020339966,0.18891344964504242
54,0.26387882232666016,0.18886177241802216
55,0.2638138234615326,0.18881024420261383
56,0.2637489438056946,0.18875882029533386
57,0.2636842429637909,0.18870753049850464
58,0.26361972093582153,0.18865638971328735
59,0.2635553181171417,0.18860533833503723
60,0.26349109411239624,0.18855442106723785
61,0.2634270191192627,0.18850363790988922
62,0.2633630633354187,0.18845297396183014
63,0.2632993161678314,0.1884024441242218
64,0.2632356882095337,0.18835203349590302
65,0.2631722092628479,0.18830174207687378
66,0.26310890913009644,0.1882515698671341
67,0.2630457580089569,0.18820151686668396
68,0.26298272609710693,0.18815158307552338
69,0.2629198431968689,0.18810176849365234
70,0.2628571391105652,0.18805208802223206
71,0.2627946138381958,0.1880025565624237
72,0.2627321481704712,0.18795311450958252
73,0.2626699209213257,0.18790379166603088
74,0.2626078128814697,0.1878545880317688
75,0.2625458240509033,0.18780551850795746
76,0.26248401403427124,0.18775653839111328
77,0.2624223530292511,0.18770769238471985
78,0.2623608112335205,0.18765898048877716
79,0.26229941844940186,0.18761037290096283
80,0.26223820447921753,0.18756189942359924
81,0.26217710971832275,0.187513530254364
82,0.2621161639690399,0.18746528029441833
83,0.262055367231369,0.187417134642601
84,0.26199471950531006,0.18736912310123444
85,0.26193419098854065,0.18732120096683502
86,0.2618738114833832,0.18727341294288635
87,0.26181358098983765,0.18722574412822723
88,0.26175349950790405,0.18717819452285767
89,0.2616935670375824,0.18713074922561646
90,0.2616337835788727,0.1870834231376648
91,0.2615741193294525,0.1870362013578415
92,0.2615146040916443,0.18698909878730774
93,0.261455237865448,0.18694211542606354
94,0.26139599084854126,0.1868952512741089
95,0.26133689284324646,0.1868484765291214
96,0.2612779140472412,0.18680180609226227
97,0.2612191140651703,0.18675528466701508
98,0.26116040349006653,0.18670883774757385
99,0.2611019015312195,0.18666253983974457
100,0.2610434591770172,0.18661633133888245
101,0.26098519563674927,0.18657024204730988
102,0.26092708110809326,0.18652425706386566
103,0.2608690559864044,0.1864783614873886
104,0.2608112096786499,0.1864325851202011
105,0.26075348258018494,0.18638694286346436
106,0.2606958746910095,0.18634139001369476
107,0.26063841581344604,0.18629592657089233
108,0.2605810761451721,0.18625061213970184
109,0.26052388548851013,0.18620538711547852
