color,loading,time_days,summary_r2,train_r2,test_r2,summary_rmse_pa,train_rmse_pa,test_rmse_pa
green,compression,0.0,0.9562121404654808,0.46153570448916026,0.6110397298050906,63.27400588607089,306.1379512421372,232.21656502986446
green,compression,1.0,0.9724621222027457,0.7741108051802486,-0.1778331841305696,49.27264054049255,157.24066651633086,296.77123551235013
green,compression,2.0,0.9841905988430354,0.532596350792025,,41.06324491747024,246.27705795913292,
green,shear,0.0,0.8762610889451348,0.603767420575493,0.5284121398227428,37.26765713355601,80.76449660902557,64.25682004499302
green,shear,1.0,0.8748674928147447,0.4291401930509907,0.7913244640393374,23.910421715466633,59.58578329984068,28.42961012901795
green,shear,2.0,0.3282386178396528,0.36059144880520333,,21.93718022392981,24.73494719771804,
green,unloading,0.0,0.997003918577601,0.8818386350504405,0.9483015980119375,18.577236213663053,117.22258289058361,98.26422738878631
green,unloading,1.0,0.9949253105455907,0.9353576775819765,0.9815580797744681,18.005022561430312,58.02252217297967,36.277190923798216
green,unloading,2.0,0.9980647865007929,0.8754356245450085,0.6192612913890893,9.449746709813597,75.47111352747947,208.78639373254381
red,compression,0.0,0.9860218511008554,0.3406844216882875,0.7965607233974002,32.1863888569587,327.4166082374987,103.17597968321405
red,compression,1.0,0.9811910617812617,0.381744949583229,0.21585047409443114,46.16713172604141,400.84893412358457,179.6688739417589
red,compression,2.0,0.9901854575501104,0.9752028282800093,0.7925191715504336,40.13195290813816,60.770242818601474,243.92885136798162
red,shear,0.0,0.8180904372750473,0.39161438053881503,-37.13109053016263,35.35913008869932,97.07224775502984,175.21161961645112
red,shear,1.0,0.72317365582592,0.6730248443261766,,54.1858785919148,65.43125397926343,
red,shear,2.0,0.48489506365206936,0.39078881304443647,0.6556638032886416,50.087187495075874,75.90445838328033,42.510802308056995
red,unloading,0.0,0.9969004896066853,0.8681040865903262,0.9643257847444393,12.763250172613748,98.14460439627499,37.17954489646408
red,unloading,1.0,0.98938522407183,0.8407780093870045,0.5836244094147501,36.157327729812344,162.96308312318357,139.3932460903485
red,unloading,2.0,0.9982061088451265,0.8466929475347625,0.9956830903014121,13.235016116609296,124.55774072604528,20.903069494288477
