train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
weighted_all,compression,test,0.0,715.5633665462498,729.9996592990425,-9.184106097510513,80
weighted_all,compression,test,1.0,1017.4000118348774,1029.692712948508,-24.75541018798676,80
weighted_all,compression,test,2.0,1653.894560689266,1728.2723833944553,-9.415401413290615,80
weighted_all,compression,train,0.0,988.5565460025757,1046.6514921441706,-5.7374587727616175,320
weighted_all,compression,train,1.0,1283.7338077899271,1370.3142393857984,-6.225144675271473,240
weighted_all,compression,train,2.0,1440.1196048318125,1482.4648109502132,-13.756691324863038,160
weighted_all,shear,test,0.0,65.62967246581046,68.0763499562973,-4.756332194088773,100
weighted_all,shear,test,2.0,242.53645766586746,251.8459280050349,-11.085169529245677,100
weighted_all,shear,train,0.0,258.93348298846524,282.40382422189987,-4.1490824463166875,400
weighted_all,shear,train,1.0,351.8120700471855,367.6823148739383,-9.140092637743956,400
weighted_all,shear,train,2.0,266.70821345721555,282.2145717678725,-7.421546203820316,300
weighted_all,unloading,test,0.0,425.162292345238,487.7616304361484,-5.139903665304492,80
weighted_all,unloading,test,1.0,333.591890921963,409.8610082686686,-2.5997720979465813,80
weighted_all,unloading,test,2.0,336.12477121680195,458.4460204782857,-1.076487158793268,80
weighted_all,unloading,train,0.0,447.21473817189303,544.0085719615773,-3.052378178925898,240
weighted_all,unloading,train,1.0,407.8124302646708,579.9301715046932,-1.0163967653476136,320
weighted_all,unloading,train,2.0,308.35654203432625,431.63410510855135,-0.8409932438321166,320
weighted_all,overall,test,-1.0,572.5817124963521,788.2398989776233,-0.0820702079471376,680
weighted_all,overall,train,-1.0,561.3591255229093,745.6009968910548,0.04656124551461138,2700
