mode,time_days,mae_pa,rmse_pa,r2,n_points
shear,0.0,209.78098457641119,229.18999559864068,-1.964019889926194,499
shear,1.0,167.76981862469805,183.31545160487266,-3.822008359921398,478
shear,2.0,112.01104563314497,128.3939714142958,-2.955762257998467,338
uniaxial,0.0,1415.635343097957,1671.6684974272266,-4.574468797324685,65
uniaxial,1.0,1069.1294632498605,1252.4264397808606,-2.7450779115820705,63
uniaxial,2.0,902.7423055971042,1076.4603787748547,-2.2340117426628665,61
overall,-1.0,290.6736384027723,515.0605088014225,-0.907096129034586,1504
