train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
tension_only,compression,test,0.0,962.0945368923611,1014.5889966268081,-14.276705145753203,9
tension_only,compression,test,1.0,1148.4795382893878,1178.6827398722062,-24.81269173234964,9
tension_only,compression,test,2.0,1748.0116269056534,1855.9864944904646,-8.611865842314101,9
tension_only,compression,train,0.0,1245.9885715192522,1340.3621223583225,-8.152742236150845,35
tension_only,compression,train,1.0,1669.4268839277786,1847.5785449270177,-4.773915897053182,33
tension_only,compression,train,2.0,1615.1815936470032,1764.0497315635973,-5.4813258553747914,32
tension_only,shear,test,0.0,74.75441465822423,78.33841506383209,-4.760707317647913,100
tension_only,shear,test,1.0,164.41876887539252,178.47168804917976,-4.543230082686475,64
tension_only,shear,test,2.0,240.1410098084252,252.84505894157758,-8.37252247076168,100
tension_only,shear,train,0.0,264.96634658626465,291.45641656306225,-4.016442049017903,400
tension_only,shear,train,1.0,350.6731764611174,371.1742808867307,-7.44771779720168,393
tension_only,shear,train,2.0,289.4759439072635,317.96084545250176,-4.632885364229089,351
tension_only,tension,test,0.0,237.24938394775393,321.6232223950887,-0.6140118064468842,4
tension_only,tension,test,1.0,321.16249473470054,425.76946917022894,-1.4292561320616972,3
tension_only,tension,test,2.0,365.53874044799807,483.6345712698621,-0.3728877017647736,4
tension_only,tension,train,0.0,309.65344813581186,433.27896251763076,-0.5588019388204413,14
tension_only,tension,train,1.0,450.7024783454778,681.6217695812023,-0.31565212453962044,13
tension_only,tension,train,2.0,355.2321136333759,499.41255808331914,-0.303681828780362,13
tension_only,overall,test,-1.0,265.278989918092,459.29989952183587,-0.665262444231902,302
tension_only,overall,train,-1.0,397.6681849176757,565.5103168759119,-1.1387854432495406,1284
