color,cut,variant,train_variant,loading,split,time_days,time_label,mae_pa,rmse_pa,r2,n_points
green,Sirloin steak,unloading_only,unloading_only,shear,train,2.0,Day 2,101.7838865657964,105.6323437663993,-9.993180827690086,300
green,Sirloin steak,unloading_only,unloading_only,unloading,train,0.0,Day 0,483.1293804722609,605.8382642277409,-2.1562131528440314,320
green,Sirloin steak,unloading_only,unloading_only,unloading,train,1.0,Day 1,289.40943896394367,377.0356562453434,-1.7295345218283655,160
green,Sirloin steak,unloading_only,unloading_only,unloading,train,2.0,Day 2,243.66464157562754,326.45588010123646,-1.3306729209397465,240
green,Sirloin steak,weighted_all,weighted_all,compression,test,0.0,Day 0,1451.9448748162108,1480.3204851924522,-14.806304644164065,80
green,Sirloin steak,weighted_all,weighted_all,compression,test,1.0,Day 1,1398.071719706269,1416.984804992889,-25.851624339187293,80
green,Sirloin steak,weighted_all,weighted_all,overall,test,-1.0,Overall,654.999848776139,857.561745494482,0.016806685651747366,600
green,Sirloin steak,weighted_all,weighted_all,shear,test,0.0,Day 0,321.68741892725524,330.48067263862106,-11.474309282040315,100
green,Sirloin steak,weighted_all,weighted_all,shear,test,1.0,Day 1,187.27651653948132,194.62000128531807,-8.77923025327226,100
green,Sirloin steak,weighted_all,weighted_all,unloading,test,0.0,Day 0,584.4149016796475,751.7351887737236,-2.0256312119857016,80
green,Sirloin steak,weighted_all,weighted_all,unloading,test,1.0,Day 1,380.4554674179303,477.79149788717507,-2.1990105509760394,80
green,Sirloin steak,weighted_all,weighted_all,unloading,test,2.0,Day 2,461.4069828675641,582.3554706547512,-1.9620948818734267,80
green,Sirloin steak,weighted_all,weighted_all,compression,train,0.0,Day 0,1249.297847530161,1301.5944741349363,-8.733610438351214,240
green,Sirloin steak,weighted_all,weighted_all,compression,train,1.0,Day 1,1104.0190180173208,1141.9317032074116,-10.913680964298532,240
green,Sirloin steak,weighted_all,weighted_all,compression,train,2.0,Day 2,1009.3722265365934,1063.3800076147766,-7.714072463011368,320
green,Sirloin steak,weighted_all,weighted_all,overall,train,-1.0,Overall,531.77040097466,715.0536648462071,-0.0036070451601240006,2620
green,Sirloin steak,weighted_all,weighted_all,shear,train,0.0,Day 0,271.63963619595677,294.3545261567305,-4.2632077213378485,400
