file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,modified_z,is_outlier
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,10,0.0125101,76.937,-1.9591278341713319,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,10,0.01959,201.465,6.009199269519023,True
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,11,0.0213936,184.115,0.8475134545668898,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,11,0.0204462,107.554,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,11,0.0190104,118.095,-0.46494756697810136,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,11,0.020879099999999998,141.483,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,11,0.01959,201.465,1.1924270977629756,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,12,0.0213936,184.115,0.8475134545668898,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,12,0.0204462,107.554,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,12,0.0190104,118.095,-0.46494756697810136,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,12,0.020879099999999998,141.483,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,12,0.01959,201.465,1.1924270977629756,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,13,0.0213936,184.115,0.8475134545668898,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,13,0.0204462,107.554,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,13,0.0190104,118.095,-0.46494756697810136,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,13,0.020879099999999998,141.483,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,13,0.0195899,201.465,1.1924270977629756,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,14,0.0213936,184.115,0.7894692495672543,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,14,0.028547,142.476,-0.6404006974849813,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,14,0.0269774,161.125,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,14,0.020879099999999998,141.483,-0.6745,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,14,0.0277112,239.817,2.7022581203543434,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,15,0.0304279,229.797,1.0502361416146886,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,15,0.028547,142.476,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,15,0.0269773,161.125,-0.30615098538756624,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,15,0.029308999999999998,176.625,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,15,0.0277112,239.817,1.2481479399103927,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,16,0.0304279,229.797,1.0502361416146886,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,16,0.028547,142.476,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,16,0.0269773,161.125,-0.30615098538756624,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,16,0.029308999999999998,176.625,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,16,0.0277112,239.817,1.2481479399103927,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,17,0.0304279,229.797,1.0502361416146886,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,17,0.028547,142.476,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,17,0.0269773,161.125,-0.30615098538756624,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,17,0.029308999999999998,176.625,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,17,0.0277112,239.817,1.2481479399103927,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,18,0.0304279,229.797,0.8717577347117841,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,18,0.0366162,169.705,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,18,0.0349964,195.918,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,18,0.029308999999999998,176.625,-0.4964379697096863,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,18,0.0357419,270.636,1.9226067600045786,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,19,0.0304279,229.797,0.6745,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,19,0.0366162,169.705,-0.8225287719298248,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,19,0.0349964,195.918,-0.16950315789473697,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,19,0.0377055,202.722,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,19,0.0357419,270.636,1.6918926315789484,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,20,0.039526900000000004,267.45,1.3223198958112485,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,20,0.0366162,169.705,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,20,0.0349964,195.918,-0.1389980313172003,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,20,0.0377055,202.722,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,20,0.0357419,270.636,1.3874062755550176,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,21,0.039526900000000004,267.45,1.3223198958112485,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,21,0.0366159,169.705,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,21,0.0349965,195.918,-0.1389980313172003,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,21,0.0377055,202.722,0.0,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,21,0.0357419,270.636,1.3874062755550176,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,22,0.039526900000000004,267.45,0.8788319193733163,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,22,0.0447395,193.072,-0.6745,False
green1-3.xls,green,sirloin tender steak,1,0,0.0,3,shear,shear,22,0.043088800000000003,225.369,0.0,False
green1-4.xls,green,sirloin tender steak,1,0,0.0,4,shear,shear,22,0.0377055,202.722,-0.4729665758429574,False
green1-5.xls,green,sirloin tender steak,1,0,0.0,5,shear,shear,22,0.0438112,296.587,1.4873375545716319,False
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,23,0.0395265,267.45,0.8788319193733163,False
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,shear,shear,23,0.0447395,193.072,-0.6745,False
