color,cut,variant,train_variant,loading,split,time_days,time_label,mae_pa,rmse_pa,r2,n_points
green,Sirloin tender steak,compression_only,compression_only,compression,test,0.0,Day 0,1612.1432399054631,1666.4996450347753,-14.909240612943066,9
green,Sirloin tender steak,compression_only,compression_only,compression,test,1.0,Day 1,1470.2642845577661,1503.7581025757963,-21.890667277183493,9
green,Sirloin tender steak,compression_only,compression_only,compression,test,2.0,Day 2,1763.277839287122,1788.1900515212176,-35.23860366663891,6
green,Sirloin tender steak,compression_only,compression_only,overall,test,-1.0,Overall,400.8775831976507,586.2236374897115,-0.8743583258039245,257
green,Sirloin tender steak,compression_only,compression_only,shear,test,0.0,Day 0,348.0374289581832,362.9503088497877,-11.214480207068009,99
green,Sirloin tender steak,compression_only,compression_only,shear,test,1.0,Day 1,200.3755802241629,212.26885941300552,-8.109222669106625,99
green,Sirloin tender steak,compression_only,compression_only,shear,test,2.0,Day 2,237.18948640405256,286.2458042215507,-2.1810811062275914,23
green,Sirloin tender steak,compression_only,compression_only,tension,test,0.0,Day 0,477.1281449005127,720.8952513634899,-0.5239886985433877,4
green,Sirloin tender steak,compression_only,compression_only,tension,test,1.0,Day 1,327.15995030326843,468.17754812423675,-0.6543112650107707,4
green,Sirloin tender steak,compression_only,compression_only,tension,test,2.0,Day 2,434.701412185955,601.1334012597375,-0.861441317426217,4
green,Sirloin tender steak,compression_only,compression_only,compression,train,0.0,Day 0,1462.9755357818603,1552.7413583395435,-8.023963694238706,36
green,Sirloin tender steak,compression_only,compression_only,compression,train,1.0,Day 1,1296.623492908042,1367.147814363775,-8.997878881279401,35
green,Sirloin tender steak,compression_only,compression_only,compression,train,2.0,Day 2,1070.2919102546907,1138.304892029714,-7.653099015820505,36
green,Sirloin tender steak,compression_only,compression_only,overall,train,-1.0,Overall,298.6345320373959,465.7283217463718,-0.6920661359709614,1247
green,Sirloin tender steak,compression_only,compression_only,shear,train,0.0,Day 0,295.38477112628874,324.9702710903559,-4.59434062837804,400
green,Sirloin tender steak,compression_only,compression_only,shear,train,1.0,Day 1,183.4963722300056,202.59506219607468,-4.518422394713427,379
green,Sirloin tender steak,compression_only,compression_only,shear,train,2.0,Day 2,107.52864295985123,114.0172547680326,-7.985031212212116,315
green,Sirloin tender steak,compression_only,compression_only,tension,train,0.0,Day 0,406.02187889566414,598.6680791243158,-0.7061840626962146,16
green,Sirloin tender steak,compression_only,compression_only,tension,train,1.0,Day 1,279.7424227619934,392.650525508206,-0.3312076032464386,15
green,Sirloin tender steak,compression_only,compression_only,tension,train,2.0,Day 2,236.98457864894098,334.32093436602463,-0.46547448692303317,15
green,Sirloin tender steak,shear_only,shear_only,compression,test,0.0,Day 0,2811.40470985243,3088.390979880091,-53.63910160836141,9
green,Sirloin tender steak,shear_only,shear_only,compression,test,1.0,Day 1,2215.3953993055557,2368.0088700289803,-55.763496821680924,9
green,Sirloin tender steak,shear_only,shear_only,compression,test,2.0,Day 2,2074.638850911458,2127.4849634337556,-50.295244594209656,6
green,Sirloin tender steak,shear_only,shear_only,overall,test,-1.0,Overall,323.10520345823386,814.3606910609228,-2.617092143352308,257
green,Sirloin tender steak,shear_only,shear_only,shear,test,0.0,Day 0,110.326130012412,125.2281394181253,-0.4540672926537863,99
green,Sirloin tender steak,shear_only,shear_only,shear,test,1.0,Day 1,56.780681777075564,65.35446807889645,0.13650601994895184,99
green,Sirloin tender steak,shear_only,shear_only,shear,test,2.0,Day 2,123.36279222679138,138.72660206516156,0.252835926874572,23
green,Sirloin tender steak,shear_only,shear_only,tension,test,0.0,Day 0,639.9652667968751,767.9123360392138,-0.7292616313145222,4
green,Sirloin tender steak,shear_only,shear_only,tension,test,1.0,Day 1,390.27316591796875,479.01082406261,-0.7317560582512326,4
green,Sirloin tender steak,shear_only,shear_only,tension,test,2.0,Day 2,461.78272041015623,564.748677559852,-0.6429262754058154,4
green,Sirloin tender steak,shear_only,shear_only,compression,train,0.0,Day 0,2654.8027306315103,2955.4910830116983,-31.693273251891654,36
green,Sirloin tender steak,shear_only,shear_only,compression,train,1.0,Day 1,2024.487609263393,2217.8924418118545,-25.312244014627026,35
green,Sirloin tender steak,shear_only,shear_only,compression,train,2.0,Day 2,1624.8694860839848,1785.2845882405518,-20.284790527757714,36
green,Sirloin tender steak,shear_only,shear_only,overall,train,-1.0,Overall,254.82486800352683,705.5449496866904,-2.8833041866327056,1247
green,Sirloin tender steak,shear_only,shear_only,shear,train,0.0,Day 0,93.63054607432514,110.85842253154244,0.34897295604333345,400
green,Sirloin tender steak,shear_only,shear_only,shear,train,1.0,Day 1,57.68159134241553,68.28404048353464,0.37310378258530374,379
green,Sirloin tender steak,shear_only,shear_only,shear,train,2.0,Day 2,44.64823260155578,55.04630093698851,-1.09427982964552,315
green,Sirloin tender steak,shear_only,shear_only,tension,train,0.0,Day 0,542.5232527343751,641.9466612007233,-0.9617857032682737,16
green,Sirloin tender steak,shear_only,shear_only,tension,train,1.0,Day 1,406.21521268229174,465.76309033698595,-0.8731112086454595,15
green,Sirloin tender steak,shear_only,shear_only,tension,train,2.0,Day 2,312.6672814960937,355.80548878624927,-0.6598789024956444,15
green,Sirloin tender steak,tension_only,tension_only,compression,test,0.0,Day 0,1965.4606519639756,2066.6847532937377,-23.467380184556436,9
green,Sirloin tender steak,tension_only,tension_only,compression,test,1.0,Day 1,1657.3662143283418,1711.596039324208,-28.655485448004228,9
green,Sirloin tender steak,tension_only,tension_only,compression,test,2.0,Day 2,1858.5550649007162,1890.72903118943,-39.51377312387964,6
green,Sirloin tender steak,tension_only,tension_only,overall,test,-1.0,Overall,369.4859328665824,628.6089744309428,-1.155197734327622,257
green,Sirloin tender steak,tension_only,tension_only,shear,test,0.0,Day 0,263.4217107671641,270.3910747949689,-5.778995625976104,99
green,Sirloin tender steak,tension_only,tension_only,shear,test,1.0,Day 1,155.9871990942984,162.95640680293116,-4.368483533943092,99
green,Sirloin tender steak,tension_only,tension_only,shear,test,2.0,Day 2,202.48531309728,240.1274379294707,-1.2386183400117292,23
green,Sirloin tender steak,tension_only,tension_only,tension,test,0.0,Day 0,523.218440625,698.2591892409495,-0.4297849999002128,4
green,Sirloin tender steak,tension_only,tension_only,tension,test,1.0,Day 1,312.504801965332,449.83083084154265,-0.5271950142206785,4
green,Sirloin tender steak,tension_only,tension_only,tension,test,2.0,Day 2,419.89382819824215,579.8033478328432,-0.7316856873768662,4
green,Sirloin tender steak,tension_only,tension_only,compression,train,0.0,Day 0,1814.63472797309,1946.1631455533966,-13.176126687993307,36
green,Sirloin tender steak,tension_only,tension_only,compression,train,1.0,Day 1,1479.930142919922,1571.045499201336,-12.20244758426983,35
green,Sirloin tender steak,tension_only,tension_only,compression,train,2.0,Day 2,1221.8216353691953,1307.2773806576129,-10.412741020642562,36
green,Sirloin tender steak,tension_only,tension_only,overall,train,-1.0,Overall,270.1816694352596,511.5923229786901,-1.0417382902894121,1247
green,Sirloin tender steak,tension_only,tension_only,shear,train,0.0,Day 0,211.81534963216407,234.41939084812884,-1.9110435786645357,400
green,Sirloin tender steak,tension_only,tension_only,shear,train,1.0,Day 1,140.52034542704916,155.49454766665158,-2.2507798397304097,379
green,Sirloin tender steak,tension_only,tension_only,shear,train,2.0,Day 2,73.07080399323137,78.07781595044912,-3.2134102038422094,315
green,Sirloin tender steak,tension_only,tension_only,tension,train,0.0,Day 0,405.7345793640136,569.136693250563,-0.5420087884165463,16
green,Sirloin tender steak,tension_only,tension_only,tension,train,1.0,Day 1,302.08190275390626,389.7027152490972,-0.31129464260978223,15
green,Sirloin tender steak,tension_only,tension_only,tension,train,2.0,Day 2,252.19479096874997,325.19029427539186,-0.38652041434773055,15
green,Sirloin tender steak,weighted_all,weighted_all,compression,test,0.0,Day 0,1823.2429632975259,1901.3590675755145,-19.709388701259332,9
green,Sirloin tender steak,weighted_all,weighted_all,compression,test,1.0,Day 1,1491.767793867323,1527.233892071103,-22.610957447174606,9
green,Sirloin tender steak,weighted_all,weighted_all,compression,test,2.0,Day 2,1764.7317964871725,1789.7401084352014,-35.30145631908946,6
green,Sirloin tender steak,weighted_all,weighted_all,overall,test,-1.0,Overall,385.09966496980263,598.2728600489279,-0.9522011842126392,257
green,Sirloin tender steak,weighted_all,weighted_all,shear,test,0.0,Day 0,290.7080055549853,299.8436618329576,-7.336243573022966,99
green,Sirloin tender steak,weighted_all,weighted_all,shear,test,1.0,Day 1,194.53570392731754,205.71638865900718,-7.555522327619581,99
green,Sirloin tender steak,weighted_all,weighted_all,shear,test,2.0,Day 2,236.61720034968204,285.4824579346771,-2.164137426188156,23
green,Sirloin tender steak,weighted_all,weighted_all,tension,test,0.0,Day 0,507.3257633178711,701.4884026920082,-0.44304012707041096,4
green,Sirloin tender steak,weighted_all,weighted_all,tension,test,1.0,Day 1,324.6828005783081,464.78663920473826,-0.630434407961882,4
green,Sirloin tender steak,weighted_all,weighted_all,tension,test,2.0,Day 2,434.44230036430355,600.694603045187,-0.858724785575778,4
green,Sirloin tender steak,weighted_all,weighted_all,compression,train,0.0,Day 0,1673.222338853624,1783.4400429655223,-10.904636102033384,36
green,Sirloin tender steak,weighted_all,weighted_all,compression,train,1.0,Day 1,1317.7384716029576,1390.125858718394,-9.336777550734952,35
green,Sirloin tender steak,weighted_all,weighted_all,compression,train,2.0,Day 2,1072.3737058146799,1140.5565767948879,-7.687366323456464,36
green,Sirloin tender steak,weighted_all,weighted_all,overall,train,-1.0,Overall,285.1570889707082,477.68818558468524,-0.7800862125863259,1247
green,Sirloin tender steak,weighted_all,weighted_all,shear,train,0.0,Day 0,238.76530114814415,263.0859636206956,-2.666544805804405,400
green,Sirloin tender steak,weighted_all,weighted_all,shear,train,1.0,Day 1,177.83883117603023,196.30743590928182,-4.181204429048578,379
green,Sirloin tender steak,weighted_all,weighted_all,shear,train,2.0,Day 2,106.95117830721618,113.38704350086547,-7.88597920914302,315
green,Sirloin tender steak,weighted_all,weighted_all,tension,train,0.0,Day 0,391.20136642761224,573.7945848985411,-0.5673520890966526,16
green,Sirloin tender steak,weighted_all,weighted_all,tension,train,1.0,Day 1,281.22338262247723,391.12250308609856,-0.3208668192889952,15
green,Sirloin tender steak,weighted_all,weighted_all,tension,train,2.0,Day 2,236.95697255903113,334.04645565599037,-0.4630691548930148,15
red,New York strip steak,compression_only,compression_only,compression,test,0.0,Day 0,872.7670315687392,912.1526353126824,-11.347653528033556,9
red,New York strip steak,compression_only,compression_only,compression,test,1.0,Day 1,1098.8399813516403,1123.410977785694,-22.448592200818673,9
red,New York strip steak,compression_only,compression_only,compression,test,2.0,Day 2,1709.3655916052926,1811.4497088028181,-8.156102370294175,9
red,New York strip steak,compression_only,compression_only,overall,test,-1.0,Overall,271.11581326283937,447.31811660175066,-0.5795121183985741,302
red,New York strip steak,compression_only,compression_only,shear,test,0.0,Day 0,94.83670430696594,99.97937167010306,-8.383115353704687,100
