file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,52,0.1032,443.211
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,53,0.1032,443.211
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,54,0.1032,443.211
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,55,0.1032,443.211
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,56,0.11232400000000001,461.088
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,57,0.11232400000000001,461.088
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,58,0.11232400000000001,461.088
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,59,0.11232400000000001,461.088
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,60,0.11232400000000001,461.088
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,61,0.121372,478.355
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,62,0.121372,478.355
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,63,0.121372,478.355
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,64,0.121372,478.355
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,65,0.130437,494.605
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,66,0.130437,494.605
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,67,0.130437,494.605
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,68,0.130437,494.605
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,69,0.130437,494.605
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,70,0.139538,509.764
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,71,0.139538,509.764
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,72,0.139538,509.764
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,73,0.139538,509.764
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,74,0.14860900000000002,524.475
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,75,0.14860900000000002,524.475
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,76,0.14860900000000002,524.475
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,77,0.14860900000000002,524.475
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,78,0.14860900000000002,524.475
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,79,0.15771000000000002,538.005
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,80,0.15771000000000002,538.005
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,81,0.15771000000000002,538.005
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,82,0.15771000000000002,538.005
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,83,0.166813,551.61
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,84,0.166813,551.61
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,85,0.166813,551.61
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,86,0.166813,551.61
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,87,0.166813,551.61
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,88,0.175891,564.291
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,89,0.175891,564.291
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,90,0.175891,564.291
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,91,0.175891,564.291
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,92,0.175891,564.291
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,93,0.184974,576.516
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,94,0.184974,576.516
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,95,0.184974,576.516
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,96,0.184974,576.516
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,97,0.194052,588.754
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,98,0.194052,588.754
green1-1.xls,green,sirloin tender steak,1,0,0.0,1,shear,shear,99,0.194052,588.754
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,0,0.9788,791.688
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,1,0.9583111,928.434
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,2,0.9384371,1043.12
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,3,0.9183111,1123.44
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,4,0.898422,1215.87
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,5,0.877926,1281.61
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,6,0.858052,1399.64
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,7,0.837911,1506.22
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,compression,8,0.8176300000000001,1689.28
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,tension,0,1.0265403,851.712
green1-2.xls,green,sirloin tender steak,1,0,0.0,2,uniaxial,tension,1,1.051515,231.726
