file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,stress_q25_pa,stress_q75_pa,n_used,n_total,used_samples,dropped_samples
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,0,0.0030966450000000003,29.394081837187937,-1.642193031808958,50.47301071909304,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,1,0.0050254869696969694,39.65721054159017,11.744216624586354,62.64231268069838,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,2,0.0069543289393939394,51.35048478412209,21.78368170011515,74.49505718638699,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,3,0.00888317090909091,63.844165008996356,33.49661906607721,86.34780169207559,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,4,0.010812012878787879,76.33784540269649,45.209556432039264,98.2005461977642,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,5,0.012740854848484848,90.496962449188,61.924504170759235,111.15960929153407,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,6,0.014669696818181819,106.50846316522083,79.20550417886108,127.42258908003376,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,7,0.016598538787878786,122.51996388084888,96.48650418696289,143.6855688685334,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,8,0.018527380757575755,138.56558968983185,113.76750419506473,159.9485486570331,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,9,0.020456222727272724,153.17491791577177,125.90402885118996,176.21152844553274,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,10,0.022385064696969693,164.21992559383858,136.32189150241697,189.1283480498732,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,11,0.024313906666666663,173.46563838003652,146.73975415364401,198.8815507174509,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,12,0.02624274863636364,182.7113508422287,157.15761680487108,208.6347533850286,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,13,0.028171590606060608,191.54317150001452,166.3067477094271,218.38795605260626,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,14,0.030100432575757577,199.95665824367643,174.67554204441066,228.1411587201839,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,15,0.032029274545454546,207.26222514225856,183.04433637939422,236.4240146791814,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,16,0.033958116515151515,214.56641377609617,191.07482953562902,244.4061972880443,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,17,0.035886958484848484,222.0278163079658,197.06982612744488,252.3883798969072,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,18,0.03781580045454545,228.8011606496315,203.01750494982375,260.3705625057701,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,19,0.03974464242424242,234.91312359231495,208.18504801954296,268.235790511236,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,20,0.04167348439393939,240.835117907051,213.3525910892622,275.196610033362,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,21,0.04360232636363636,246.75734786396305,218.52013415898142,282.157429555488,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,22,0.04553116833333333,252.21224695608345,223.68767722870064,289.118249077614,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,23,0.0474600103030303,257.50260139634673,228.18394104718485,296.07906859974,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,24,0.049388852272727275,262.67881699922157,232.40479855761558,302.77185584445624,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,25,0.051317694242424244,267.75859423967813,236.6256560680463,309.0278007276653,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,26,0.053246536212121214,272.56956363643275,240.84651357847704,315.2837456108743,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,27,0.05517537818181818,277.27569416826435,244.90772480935777,321.53969049408335,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,28,0.05710422015151515,281.9075262478032,248.65649471531947,327.7187282373441,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,29,0.05903306212121212,286.4509615774402,252.40526462128113,331.71698002191823,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,30,0.06096190409090909,290.77879612095774,256.1540345272428,335.46461733171947,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,31,0.06289074606060606,294.9207491463695,259.9028044332045,338.9710155295748,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,32,0.06481958803030302,298.9657266243974,263.2437708442836,342.4774137274302,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,33,0.06674843,303.0063185795319,266.5662951675265,345.9838119252856,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,34,0.06867727196969696,306.8674682349003,269.8888194907695,349.3154653135871,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,35,0.07060611393939394,310.56973131145287,273.2113438140124,352.29146226838714,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,36,0.0725349559090909,314.1666689909155,276.14928517569564,355.2674592231872,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,37,0.07446379787878787,317.7088956609936,278.85715471579584,358.2434561779872,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,38,0.07639263984848484,321.4650179462315,281.565024255896,361.1001570317077,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,39,0.07832148181818181,325.1418576485339,284.2728937959962,363.13557407686255,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,40,0.08025032378787877,328.79560314145306,286.8968469632464,365.1709911220174,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,41,0.08217916575757575,331.9721804142456,289.3068068120926,367.20640816717236,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,42,0.08410800772727271,334.481624632523,291.7167666609388,369.2418252123272,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,43,0.08603684969696969,337.24076942233614,294.12672650978504,371.58838751846514,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,44,0.08796569166666665,340.11543133179407,296.53668635863124,373.95835670407956,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,45,0.08989453363636363,342.9183204598474,298.6574985394623,376.3283258896941,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,46,0.09182337560606059,345.6923083675594,300.7579806968356,378.6982950753085,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,47,0.09375221757575757,348.4148401347499,302.8584628542089,381.0798540423326,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,48,0.09568105954545454,351.1388641452379,304.95894501158216,383.4656248672181,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,49,0.0976099015151515,353.8452455409231,306.988354159268,385.85139569210355,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,50,0.09953874348484848,356.53105046903255,308.9676049580333,388.237166516989,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,51,0.10146758545454544,359.13681295711467,310.9468557567986,390.522289174527,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,52,0.10339642742424242,361.71589194123294,312.9261065555638,392.73207688791973,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,53,0.10532526939393938,364.2819656388976,314.852963471035,394.9418646013125,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,54,0.10725411136363636,366.8019189274713,316.5940176841012,397.15165231470525,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,55,0.10918295333333332,369.16657000882907,318.3350718971673,399.1754650751787,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,56,0.1111117953030303,371.4244580864655,320.0761261102335,400.89915661107625,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,57,0.11304063727272726,373.68234616301146,321.8171803232996,402.6228481469738,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,58,0.11496947924242423,375.9055595512381,323.4185416343771,404.34653968287137,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,59,0.1168983212121212,378.03927094444003,324.99885864268424,406.0895828272787,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,60,0.11882716318181817,380.13677503423975,326.57917565099143,407.92327690160175,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,61,0.12075600515151513,382.2280124113618,328.15949265929856,409.75697097592473,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,62,0.12268484712121211,384.2711504868661,329.70816576538283,411.59066505024776,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,63,0.12461368909090907,386.2846909594074,331.2284171651631,413.42349152387663,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,64,0.12654253106060606,388.228544234002,332.74866856494333,415.00700741188183,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,65,0.12847137303030304,390.17239750865434,334.2689199647236,416.590523299887,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,66,0.130400215,392.1255561255243,335.8073759165176,418.1740391878922,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,67,0.13232905696969696,394.07501286574154,337.4369425847744,419.75755507589736,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,68,0.13425789893939394,395.922450766074,339.0665092530312,420.9792247223914,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,69,0.13618674090909091,397.7132786451543,340.696075921288,422.10474159277055,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,70,0.1381155828787879,399.3803986389424,342.3256425895448,423.2302584631497,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,71,0.14004442484848484,401.0024578644436,343.7892925606727,424.35577533352887,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,72,0.14197326681818181,402.65618415434136,345.2163648874855,425.61623125690573,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,73,0.1439021087878788,404.3401580427229,346.64343721429833,426.96208455320243,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,74,0.14583095075757577,406.0241319140026,348.0705095411111,428.3079378494992,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,75,0.14775979272727272,407.66462290699826,349.33132020327497,429.6537911457959,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,76,0.1496886346969697,409.17478101436626,350.39757445981553,430.7926146413683,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,77,0.15161747666666667,410.581607340046,351.4638287163561,431.6397039319001,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,78,0.15354631863636364,411.98843365897136,352.5300829728967,432.48679322243186,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,79,0.1554751606060606,413.40096989589375,353.6379776984454,433.3338825129636,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,80,0.15740400257575757,414.774312688941,355.0501902362971,434.8344259951167,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,81,0.15933284454545454,416.237271693167,356.46240277414876,436.71387226165467,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,82,0.16126168651515152,417.7002306928499,357.8746153120004,438.59331852819264,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,83,0.1631905284848485,419.1631896919368,359.28682784985205,440.4727647947306,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,84,0.16511937045454544,420.51571118390245,360.47714343503105,442.16666665271896,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,85,0.16704821242424242,421.859123430991,361.60370955349134,443.8395372551288,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,86,0.1689770543939394,423.2025356754234,362.7302756719516,445.5124078575387,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,87,0.17090589636363637,424.54594792155467,363.8568417904118,447.18527845994856,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,88,0.17283473833333332,425.919360655898,364.90904989799986,449.02107650565216,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,89,0.1747635803030303,427.30065925856326,365.8488012568912,450.9274704334042,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,90,0.17669242227272727,428.68395475516405,366.7885526157825,452.8338643611563,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,91,0.17862126424242425,430.06725025258527,367.72830397467385,454.74025828890836,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,92,0.1805501062121212,431.39798713334295,368.69188232537635,456.4500510314598,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,93,0.18247894818181817,432.58068504941997,370.02408512629273,458.002075819951,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,94,0.18440779015151515,433.6749546353196,371.3562879272091,459.5541006084422,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,95,0.18633663212121213,434.7692242281892,372.68849072812554,461.1061253969334,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,96,0.1882654740909091,435.91651389073365,374.0206935290419,462.8364164257906,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,97,0.19019431606060605,437.22684912108934,375.6118640275659,464.8353014923085,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,98,0.19212315803030303,438.58265757776593,377.3072617174602,466.8341865588264,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,shear,shear,99,0.194052,439.93846604648405,379.0026594073545,468.83307162534436,5,5,"1,2,3,4,5",
robust_summary,green,sirloin steak,1,0,0.0,0,uniaxial,compression,0,0.8182208712932227,-1962.4122269502045,-2324.1737626182376,-1677.1793166860932,4,5,"2,3,4,5",1
