color,time_days,loading,global_r2,train_r2,val_r2,ridge_alpha,params
green,0.0,compression,0.7022159083442798,0.2911601707416127,-0.7006377914732809,1e-06,"[2.0, 2.0, 2.0, 2.0]"
green,1.0,compression,0.8628142086127759,0.7294175861866734,-0.423978896707911,1e-06,"[2.0, 2.0, 2.0, 2.0]"
green,2.0,compression,0.7402472650138717,0.39047782263134023,0.07655433332615558,1e-06,"[4.0, 4.0, 4.0, 4.0]"
green,0.0,shear,0.9903089819659696,0.9998819063622384,-3.604674417007897,1e-06,"[0.1, 0.1, 0.1, 0.1]"
green,1.0,shear,0.9932093671849099,0.9998187428758052,-5.739018739813144,1e-06,"[0.1, 0.1, 0.1, 0.1]"
green,2.0,shear,0.9884329506540563,0.9984798389606925,-2.621960684433344,1e-06,"[0.1, 0.1, 0.1, 0.1]"
red,0.0,compression,0.9259027911281335,0.7936644169423083,0.8460188744821149,1e-06,"[0.5, 0.5, 2.0, 2.0]"
red,1.0,compression,0.9110085325417787,0.7488064722305383,0.7779020005318218,1e-06,"[2.0, 2.0, 2.0, 2.0]"
red,2.0,compression,0.7439603020119591,0.38617140897918445,0.1395436787242279,1e-06,"[4.0, 4.0, 4.0, 4.0]"
red,0.0,shear,0.9977100539615738,0.9998806887437149,-3.486968074251304,1e-06,"[0.1, 0.1, 0.1, 0.1]"
red,1.0,shear,0.9944508604286202,0.9998468315528143,-3.0741354395339995,1e-06,"[0.1, 0.1, 0.1, 0.1]"
red,2.0,shear,0.9983285845663238,0.9995084212178822,-2.0610155382508712,1e-06,"[0.1, 0.1, 0.1, 0.1]"
