train_variant,loading,split,time_days,mae_pa,rmse_pa,r2,n_points
unloading_only,compression,test,0.0,1504.671413283618,1538.1372442506106,-16.06510741941864,80
unloading_only,compression,test,1.0,1426.2368781687935,1447.3460750438414,-27.014633930125928,80
unloading_only,compression,train,0.0,1302.0243859975685,1357.1631159081378,-9.582460711872834,240
unloading_only,compression,train,1.0,1132.1841764798453,1172.7841298801459,-11.566139198451797,240
unloading_only,compression,train,2.0,1030.9803081634855,1086.790564903463,-8.101980565480115,320
unloading_only,shear,test,0.0,334.3959902450472,344.334141429269,-12.54205420331943,100
unloading_only,shear,test,1.0,193.86353315773312,201.87601521793061,-9.522021309704497,100
unloading_only,shear,train,0.0,284.34434209352645,308.06615487711207,-4.764969980404099,400
unloading_only,shear,train,1.0,174.99057281777007,190.10020726427868,-4.815796458381838,400
unloading_only,shear,train,2.0,101.7838865657964,105.6323437663993,-9.993180827690086,300
unloading_only,unloading,test,0.0,500.8331949460684,678.5989921277796,-1.4655434023412104,80
unloading_only,unloading,test,1.0,336.48036393235174,438.0960470147091,-1.689536897709082,80
unloading_only,unloading,test,2.0,427.60715295082474,551.7768383454697,-1.6591912880368906,80
unloading_only,unloading,train,0.0,483.1293804722609,605.8382642277409,-2.1562131528440314,320
unloading_only,unloading,train,1.0,289.40943896394367,377.0356562453434,-1.7295345218283655,160
unloading_only,unloading,train,2.0,243.66464157562754,326.45588010123646,-1.3306729209397465,240
unloading_only,overall,test,-1.0,647.4871210046842,865.3869399715235,-0.0012183279187234497,600
unloading_only,overall,train,-1.0,529.6867601162813,723.5545737289024,-0.027611637331446337,2620
