epoch,train_loss,val_loss
1,0.42405205965042114,0.21064533293247223
2,0.4240281581878662,0.21065394580364227
3,0.42400413751602173,0.2106626033782959
4,0.42398011684417725,0.2106713056564331
5,0.42395615577697754,0.2106800377368927
6,0.42393213510513306,0.21068882942199707
7,0.4239081144332886,0.21069763600826263
8,0.4238840341567993,0.21070647239685059
9,0.42386001348495483,0.2107153683900833
10,0.42383596301078796,0.21072426438331604
11,0.4238119125366211,0.21073323488235474
12,0.42378777265548706,0.21074219048023224
13,0.4237637519836426,0.2107512652873993
14,0.4237396717071533,0.21076031029224396
15,0.4237155616283417,0.2107694000005722
16,0.42369145154953003,0.21077854931354523
17,0.423667311668396,0.21078771352767944
18,0.42364317178726196,0.21079693734645844
19,0.42361903190612793,0.21080616116523743
20,0.4235949218273163,0.2108154594898224
21,0.42357075214385986,0.21082477271556854
22,0.42354658246040344,0.21083414554595947
23,0.4235224425792694,0.2108435481786728
24,0.423498272895813,0.2108529806137085
25,0.4234740734100342,0.21086245775222778
26,0.423449844121933,0.21087197959423065
27,0.4234256446361542,0.2108815312385559
28,0.423401415348053,0.21089112758636475
29,0.4233771562576294,0.21090075373649597
30,0.4233529567718506,0.21091042459011078
31,0.4233287572860718,0.21092012524604797
32,0.4233044385910034,0.21092990040779114
33,0.4232802093029022,0.2109396606683731
34,0.42325595021247864,0.21094951033592224
35,0.42323166131973267,0.21095934510231018
36,0.4232074022293091,0.2109692394733429
37,0.4231830835342407,0.21097919344902039
38,0.42315882444381714,0.21098917722702026
39,0.4231344759464264,0.21099922060966492
40,0.4231101870536804,0.21100926399230957
41,0.42308586835861206,0.211019366979599
42,0.4230615198612213,0.21102949976921082
43,0.42303717136383057,0.2110396772623062
44,0.4230128526687622,0.2110499143600464
45,0.4229884743690491,0.21106016635894775
46,0.42296409606933594,0.2110704779624939
47,0.4229397177696228,0.21108077466487885
48,0.42291536927223206,0.21109119057655334
49,0.4228910207748413,0.21110159158706665
50,0.4228665828704834,0.21111206710338593
51,0.42284220457077026,0.2111225575208664
52,0.42281776666641235,0.21113309264183044
53,0.42279332876205444,0.21114367246627808
54,0.42276889085769653,0.2111542820930481
55,0.4227445721626282,0.2111649513244629
56,0.4227201044559479,0.21117565035820007
57,0.4226956367492676,0.21118639409542084
58,0.42267119884490967,0.211197167634964
