mode,time_days,mae_pa,rmse_pa,r2,n_points
shear,0.0,202.47815634571796,238.90528020157177,-1.9196029561461074,500
shear,1.0,312.06031467870196,336.63667695132,-4.8835923295483115,457
shear,2.0,269.0303184336925,295.0883398051873,-4.4799800570731225,451
uniaxial,0.0,1010.1697237155054,1203.6581058002444,-3.803290036048894,62
uniaxial,1.0,1289.047655892797,1560.2700097484937,-2.3287395188773132,58
uniaxial,2.0,1301.7677457801553,1566.3208067123903,-2.2414105633917014,58
overall,-1.0,364.48999480580943,557.4874876513297,-1.1013453714408432,1586
