epoch,loss,lr
1,6.098431587219238,0.003000000026077032
2,5.386374473571777,0.003000000026077032
3,4.718989849090576,0.003000000026077032
4,4.0962677001953125,0.003000000026077032
5,3.518218994140625,0.003000000026077032
6,2.984837055206299,0.003000000026077032
7,2.4961235523223877,0.003000000026077032
8,2.0520758628845215,0.003000000026077032
9,1.6526974439620972,0.003000000026077032
10,1.297985553741455,0.003000000026077032
11,0.9879423379898071,0.003000000026077032
12,0.7225689888000488,0.003000000026077032
13,0.5018676519393921,0.003000000026077032
14,0.32584241032600403,0.003000000026077032
15,0.19449764490127563,0.003000000026077032
16,0.1078430637717247,0.003000000026077032
17,0.06589312106370926,0.003000000026077032
18,0.06739262491464615,0.003000000026077032
19,0.09987232089042664,0.003000000026077032
20,0.14183613657951355,0.003000000026077032
21,0.1793793886899948,0.003000000026077032
22,0.2051955610513687,0.003000000026077032
23,0.21644467115402222,0.003000000026077032
24,0.21325340867042542,0.003000000026077032
25,0.19766834378242493,0.003000000026077032
26,0.17292091250419617,0.003000000026077032
27,0.14291761815547943,0.003000000026077032
28,0.11188436299562454,0.003000000026077032
29,0.0841168612241745,0.003000000026077032
30,0.06384168565273285,0.003000000026077032
31,0.0550374798476696,0.003000000026077032
32,0.057495951652526855,0.003000000026077032
33,0.06726133078336716,0.003000000026077032
34,0.07841364294290543,0.003000000026077032
35,0.08562291413545609,0.003000000026077032
36,0.08637451380491257,0.003000000026077032
37,0.08094698190689087,0.003000000026077032
38,0.07126228511333466,0.003000000026077032
39,0.060693711042404175,0.003000000026077032
40,0.05232967436313629,0.003000000026077032
41,0.04802587628364563,0.003000000026077032
42,0.04797379672527313,0.003000000026077032
43,0.05085645988583565,0.003000000026077032
44,0.05452775955200195,0.003000000026077032
45,0.05693349987268448,0.003000000026077032
46,0.05687229335308075,0.003000000026077032
47,0.05429689586162567,0.003000000026077032
48,0.050118349492549896,0.003000000026077032
49,0.04569828510284424,0.003000000026077032
50,0.04227297753095627,0.003000000026077032
51,0.04052092507481575,0.003000000026077032
52,0.04039512574672699,0.003000000026077032
53,0.041248951107263565,0.003000000026077032
54,0.04217677190899849,0.003000000026077032
55,0.042409349232912064,0.003000000026077032
56,0.041596706956624985,0.003000000026077032
57,0.03987664729356766,0.003000000026077032
58,0.0377374030649662,0.003000000026077032
59,0.035763513296842575,0.003000000026077032
60,0.0343855619430542,0.003000000026077032
61,0.03373020142316818,0.003000000026077032
62,0.033615842461586,0.003000000026077032
63,0.03367607668042183,0.003000000026077032
64,0.033541347831487656,0.003000000026077032
65,0.03299518674612045,0.003000000026077032
66,0.03203994780778885,0.003000000026077032
67,0.030859122052788734,0.003000000026077032
68,0.029708685353398323,0.003000000026077032
69,0.028794733807444572,0.003000000026077032
70,0.028192145749926567,0.003000000026077032
71,0.027833225205540657,0.003000000026077032
72,0.027560438960790634,0.003000000026077032
73,0.027210770174860954,0.003000000026077032
74,0.026689624413847923,0.003000000026077032
75,0.026001594960689545,0.003000000026077032
76,0.02523192949593067,0.003000000026077032
77,0.0244938712567091,0.003000000026077032
78,0.023872144520282745,0.003000000026077032
79,0.023388303816318512,0.003000000026077032
80,0.023001065477728844,0.003000000026077032
81,0.022635845467448235,0.003000000026077032
82,0.02222543954849243,0.003000000026077032
83,0.021740121766924858,0.003000000026077032
84,0.021195732057094574,0.003000000026077032
85,0.020638031885027885,0.003000000026077032
86,0.020115680992603302,0.003000000026077032
87,0.019656101241707802,0.003000000026077032
