color,cut_name,freshness_index,time_hours,time_days,mode,loading,file_name,sample_num,global_distance,global_z,local_outlier_fraction,feature_score,feature_z,curve_score,curve_weight,is_curve_outlier
green,sirloin steak,1,0,0.0,shear,shear,green1-1.xls,1,1.4308829779994632,0.2603635524892803,0.0,0.9303216878959514,1.6451283645734152,1.9054919170626954,0.7125383301864837,False
green,sirloin steak,1,0,0.0,shear,shear,green1-2.xls,2,1.753422509849328,0.7368834082582044,0.0,1.055788153738384,2.067874118045538,2.8047575263037423,0.533596897588644,False
green,sirloin steak,1,0,0.0,shear,shear,green1-3.xls,3,0.22980634713206577,1.5141068810288296,0.0,0.44206499917730613,0.0,1.5141068810288296,0.7969877654583866,False
green,sirloin steak,1,0,0.0,shear,shear,green1-4.xls,4,0.7981129717155725,0.6744907594765952,0.0,0.4046944556859572,0.1259160243323766,0.8004067838089718,0.933546913142369,False
green,sirloin steak,1,0,0.0,shear,shear,green1-5.xls,5,1.2546520459323158,0.0,0.02,0.24188327969260132,0.6744907594765952,0.6944907594765952,0.9491350696365125,False
green,sirloin steak,1,0,0.0,uniaxial,compression,green1-1.xls,1,0.5913578167748241,2.9169338194537793,0.0,3.209788138250463,8.30980146938935,11.22673528884313,0.1,True
green,sirloin steak,1,0,0.0,uniaxial,compression,green1-2.xls,2,1.4971069037848552,0.0,0.0,0.5383871075908905,0.0,0.0,1.0,False
green,sirloin steak,1,0,0.0,uniaxial,compression,green1-3.xls,3,1.6075775832263806,0.35576702813441957,0.0375,0.40622572502994164,0.41110819319042674,0.8043752213248463,0.9329306324192698,False
green,sirloin steak,1,0,0.0,uniaxial,compression,green1-4.xls,4,1.7065457966106885,0.6744907594765952,0.0,0.7552196416380057,0.6744907594765952,1.3489815189531904,0.831812107765968,False
green,sirloin steak,1,0,0.0,uniaxial,compression,green1-5.xls,5,0.6069004938919493,2.8668791617367564,0.0,0.13489815189531904,1.255114106208754,4.121993267945511,0.34627599499792167,False
green,sirloin steak,1,0,0.0,uniaxial,unloading,green1-1.xls,1,1.6406027292682936,0.2261476115180667,0.0125,1.3985556079462078,1.1812600699396796,1.4199076814577463,0.8169832425756842,False
green,sirloin steak,1,0,0.0,uniaxial,unloading,green1-2.xls,2,1.4897672072391461,0.0,0.05,0.6462154083761578,0.0,0.05,0.9997222993612885,False
green,sirloin steak,1,0,0.0,uniaxial,unloading,green1-3.xls,3,0.5667630488353694,1.3838596043969094,0.0,0.21663472118786675,0.6744907594765952,2.0583503638735046,0.6799223203925143,False
green,sirloin steak,1,0,0.0,uniaxial,unloading,green1-4.xls,4,0.7107021030882265,1.1680518630535752,0.0,0.1539219613218758,0.7729569575446319,1.9410088205982072,0.7049139812770578,False
green,sirloin steak,1,0,0.0,uniaxial,unloading,green1-5.xls,5,1.9396378254895659,0.6744907594765952,0.1375,0.8283117176145971,0.2859120104304997,1.097902769907095,0.8818868819282774,False
green,sirloin steak,2,24,1.0,shear,shear,green2-1.xls,1,1.4566276045742372,0.0,0.02,1.0210942755720154,0.583962417780319,0.603962417780319,0.9610486345485495,False
green,sirloin steak,2,24,1.0,shear,shear,green2-2.xls,2,0.9755441436324681,0.2605718913228225,0.0,0.42557555056825586,0.6744907594765952,0.9350626507994177,0.9114531229857071,False
green,sirloin steak,2,24,1.0,shear,shear,green2-3.xls,3,4.0431873783373815,1.4009726523327193,0.88,2.4611561584460633,3.627108461488649,5.9080811138213685,0.20498607001819097,False
green,sirloin steak,2,24,1.0,shear,shear,green2-4.xls,4,3.1207298593805497,0.9013368928555621,0.12,0.7447545906544789,0.0,1.0213368928555622,0.896135054757455,False
green,sirloin steak,2,24,1.0,shear,shear,green2-5.xls,5,0.21134229273591362,0.6744907594765952,0.0,0.0,1.5738191622436133,2.2483099217202085,0.640346185190681,False
green,sirloin steak,2,24,1.0,uniaxial,compression,green2-1.xls,1,1.4933935938731697,0.0,0.0375,0.684879310706467,0.4331551579635858,0.47065515796358576,0.9759783238410601,False
green,sirloin steak,2,24,1.0,uniaxial,compression,green2-2.xls,2,3.757164119075282,3.57139448570065,0.275,1.1050590497108996,4.546481633254251,8.3928761189549,0.11329252433232917,True
green,sirloin steak,2,24,1.0,uniaxial,compression,green2-3.xls,3,0.3224890460959117,1.847255275505524,0.0,0.640632149117208,0.0,1.847255275505524,0.7250841711269049,False
green,sirloin steak,2,24,1.0,uniaxial,compression,green2-4.xls,4,1.6349648524625353,0.22334720177285633,0.0125,0.5717323540291581,0.6744907594765952,0.9103379612494515,0.9156842795301942,False
green,sirloin steak,2,24,1.0,uniaxial,compression,green2-5.xls,5,1.065859669256956,0.6744907594765952,0.0375,0.2230441275683915,4.08795499961714,4.799945759093735,0.28090344160933595,False
green,sirloin steak,2,24,1.0,uniaxial,unloading,green2-1.xls,1,0.5328598462992696,0.6744907594765952,0.0,0.18005382407920334,0.9241625593995596,1.598653318876155,0.7788369283311461,False
green,sirloin steak,2,24,1.0,uniaxial,unloading,green2-2.xls,2,4.872855316853419,5.298173010736531,0.375,0.878654236221865,0.0,5.673173010736531,0.21852673543175727,True
green,sirloin steak,2,24,1.0,uniaxial,unloading,green2-3.xls,3,5.885368147973968,6.6915843044440475,0.6,1.816580911517566,1.2407618170620052,8.532346121506052,0.11002319854923956,True
green,sirloin steak,2,24,1.0,uniaxial,unloading,green2-4.xls,4,1.0152040266107283,0.010692921422272747,0.0375,1.0715977375999581,0.25524055948692737,0.3034334809092001,0.9898733887524387,False
green,sirloin steak,2,24,1.0,uniaxial,unloading,green2-5.xls,5,1.0229739651716594,0.0,0.0,0.36878774383451834,0.6744907594765952,0.6744907594765952,0.9518835771336986,False
green,sirloin steak,3,48,2.0,shear,shear,green3-1.xls,1,0.09579802589243752,0.6744907594765952,0.0,0.13489815189531904,0.6744907594765952,1.3489815189531904,0.831812107765968,False
green,sirloin steak,3,48,2.0,shear,shear,green3-2.xls,2,0.44491117883312814,0.41731655023331793,0.0,1.1418475917303113,0.0,0.41731655023331793,0.9810169831327737,False
green,sirloin steak,3,48,2.0,shear,shear,green3-3.xls,3,6.7309115410747165,4.213265708972115,0.95,3.671962939041548,1.6947617771662837,6.858027486138399,0.16062095059902506,True
green,sirloin steak,3,48,2.0,shear,shear,green3-4.xls,4,1.0114170390240609,0.0,0.0,1.031895350176549,0.07364994504977716,0.07364994504977716,0.9993976614297719,False
