color,cut_name,freshness_index,time_hours,time_days,mode,loading,point_index,deformation,file_name,sample_num,interpolated_stress_pa,modified_z,is_outlier
green,sirloin steak,1,0,0.0,shear,shear,9,0.03572942530612245,green1-5.xls,5,270.5881265156696,1.5237819869505937,False
green,sirloin steak,1,0,0.0,shear,shear,10,0.03979458967346939,green1-1.xls,1,268.41609343920925,1.0749752071813223,False
green,sirloin steak,1,0,0.0,shear,shear,10,0.03979458967346939,green1-2.xls,2,178.84776605566202,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,10,0.03979458967346939,green1-3.xls,3,213.38031420050754,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,10,0.03979458967346939,green1-4.xls,4,208.31886124304665,-0.09886180439067742,False
green,sirloin steak,1,0,0.0,shear,shear,10,0.03979458967346939,green1-5.xls,5,283.6695158831874,1.3729095905725737,False
green,sirloin steak,1,0,0.0,shear,shear,11,0.04385975404081632,green1-1.xls,1,283.0872930178146,0.9999066146657415,False
green,sirloin steak,1,0,0.0,shear,shear,11,0.04385975404081632,green1-2.xls,2,190.54137527504278,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,11,0.04385975404081632,green1-3.xls,3,227.82158007760253,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,11,0.04385975404081632,green1-4.xls,4,219.20980631982425,-0.1558103403772775,False
green,sirloin steak,1,0,0.0,shear,shear,11,0.04385975404081632,green1-5.xls,5,296.70903847375786,1.2463609289243065,False
green,sirloin steak,1,0,0.0,shear,shear,12,0.047924918408163264,green1-1.xls,1,297.75849259642007,0.9350364828491899,False
green,sirloin steak,1,0,0.0,shear,shear,12,0.047924918408163264,green1-2.xls,2,199.63275442967827,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,12,0.047924918408163264,green1-3.xls,3,240.75379213135602,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,12,0.047924918408163264,green1-4.xls,4,229.20129285621815,-0.18949329094296116,False
green,sirloin steak,1,0,0.0,shear,shear,12,0.047924918408163264,green1-5.xls,5,306.92665263367036,1.0854199432566838,False
green,sirloin steak,1,0,0.0,shear,shear,13,0.051990082775510205,green1-1.xls,1,311.20860437522816,0.8605865535594481,False
green,sirloin steak,1,0,0.0,shear,shear,13,0.051990082775510205,green1-2.xls,2,208.0054520514705,-0.6745,False
green,sirloin steak,1,0,0.0,shear,shear,13,0.051990082775510205,green1-3.xls,3,253.35177215372576,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,13,0.051990082775510205,green1-4.xls,4,238.0970343532509,-0.22690530616857182,False
green,sirloin steak,1,0,0.0,shear,shear,13,0.051990082775510205,green1-5.xls,5,317.1177514795741,0.9484816619804536,False
green,sirloin steak,1,0,0.0,shear,shear,14,0.05605524714285714,green1-1.xls,1,324.3934295827091,0.8304073527777013,False
green,sirloin steak,1,0,0.0,shear,shear,14,0.05605524714285714,green1-2.xls,2,216.35171954958386,-0.6744999999999999,False
green,sirloin steak,1,0,0.0,shear,shear,14,0.05605524714285714,green1-3.xls,3,264.77605164074856,0.0,False
green,sirloin steak,1,0,0.0,shear,shear,14,0.05605524714285714,green1-4.xls,4,246.6177800311709,-0.25292561965753596,False
green,sirloin steak,1,0,0.0,shear,shear,14,0.05605524714285714,green1-5.xls,5,325.5443364158638,0.8464382741232228,False
green,sirloin steak,1,0,0.0,shear,shear,15,0.06012041151020408,green1-1.xls,1,336.6850631037432,0.8006549932585928,False
