file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,curve_weight,is_curve_outlier
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,0,0.00309664,50.47310889102572,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,1,0.00502548202020202,62.64220888010615,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,2,0.00695432404040404,74.49497327016384,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,3,0.00888316606060606,86.34773766022153,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,4,0.01081200808080808,98.20050205027923,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,5,0.0127408501010101,111.15956926332694,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,6,0.01466969212121212,127.4225494776586,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,7,0.01659853414141414,143.68552969199027,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,8,0.01852737616161616,159.94850990632193,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,9,0.02045621818181818,176.2114901206536,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,10,0.0223850602020202,189.12832532113023,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,11,0.02431390222222222,198.88152824408704,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,12,0.026242744242424242,208.63473116704387,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,13,0.028171586262626263,218.38793409000067,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,14,0.03010042828282828,228.14113701295744,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,15,0.0320292703030303,236.42399712263423,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,16,0.03395811232323232,244.40617994050365,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,17,0.035886954343434335,252.38836275837303,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,18,0.037815796363636356,260.3705455762425,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,19,0.03974463838383838,268.2358189722598,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,20,0.0416734804040404,275.1970199660717,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,21,0.04360232242424242,282.15822095988364,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,22,0.04553116444444444,289.11942195369556,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,23,0.04746000646464646,296.08062294750744,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,24,0.04938884848484848,302.77184355897026,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,25,0.0513176905050505,309.0277886059858,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,26,0.05324653252525252,315.28373365300126,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,27,0.055175374545454535,321.5396787000168,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,28,0.057104216565656556,327.79562374703227,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,29,0.059033058585858576,333.5645300986593,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,30,0.0609619006060606,339.10000533477546,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,31,0.06289074262626262,344.6354805708916,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,32,0.06481958464646465,350.1709558070078,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,33,0.06674842666666665,355.7064310431239,0.7125383301864837,False
green1-1.xls,green,sirloin steak,1,0,0.0,1,shear,shear,34,0.06867726868686867,360.88398845331335,0.7125383301864837,False
