file_name,color,cut_name,freshness_index,time_hours,time_days,sample_num,mode,loading,point_index,deformation,stress_pa,stress_std_pa,n_used,n_total,used_samples,used_files,dropped_samples
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,25,0.10077205518367348,352.31777635363994,60.745668712355084,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,26,0.10483721955102042,357.39001425368343,62.956140293931156,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,27,0.10890238391836736,362.2128914516329,65.09943768537345,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,28,0.11296754828571429,366.63014434384695,67.3762759762643,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,29,0.11703271265306123,370.88039470790716,69.69663149633213,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,30,0.12109787702040817,375.2392983962351,71.835980018231,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,31,0.1251630413877551,379.44941958321954,73.82915524342764,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,32,0.12922820575510205,383.4969879301229,75.78635451876872,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,33,0.133293370122449,387.4041891348326,77.59524363879315,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,34,0.13735853448979593,390.9419539504985,79.41004027173867,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,35,0.14142369885714287,394.39980460371964,81.27061190743002,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,36,0.1454888632244898,397.8921892002086,83.14794960706394,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,37,0.14955402759183675,401.21836405848387,85.03960455056648,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,38,0.1536191919591837,404.2115650584189,86.80792002701897,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,39,0.15768435632653063,407.262612825763,88.52778713944706,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,40,0.16174952069387757,410.04193418910063,90.89233969643882,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,41,0.1658146850612245,412.6828449409253,93.32177429188127,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,42,0.16987984942857143,414.7682057445116,96.32985846026622,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,43,0.17394501379591837,416.8396989815781,99.3943178038479,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,44,0.1780101781632653,419.04943450687506,102.24074290198166,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,45,0.18207534253061225,421.1568095264499,104.97582762823497,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
aggregated,green,sirloin steak,1,0,0.0,0,shear,shear,46,0.1861405068979592,423.1953041522073,107.4609837226234,5,5,"1,2,3,4,5","green1-1.xls,green1-2.xls,green1-3.xls,green1-4.xls,green1-5.xls",
