color,time_days,l1_total,l1_I1_family,l1_I2_family,cosine_to_day0,compression_mean_stress_pa,shear_mean_stress_pa
green,0.0,1122337.168176356,723577.268434322,398759.8997420339,1.0,1369.5988636248605,337.29467151658974
green,1.0,709505.5651371699,412454.7055793083,297050.8595578616,0.9324152175739752,1166.379114429737,214.52227119478704
green,2.0,739591.953377265,346881.5965074499,392710.3568698152,0.4984719596778242,1104.5064457020203,113.92670081529533
